table_name,column_name,foreign_table_name,foreign_column_name
project_custom_attributes,project_id,projects,id
group_custom_attributes,group_id,namespaces,id
board_labels,label_id,labels,id
board_labels,board_id,boards,id
board_assignees,assignee_id,users,id
board_assignees,board_id,boards,id
epics,due_date_sourcing_epic_id,epics,id
epics,start_date_sourcing_milestone_id,milestones,id
epics,parent_id,epics,id
epics,author_id,users,id
epics,due_date_sourcing_milestone_id,milestones,id
epics,start_date_sourcing_epic_id,epics,id
epics,closed_by_id,users,id
epics,assignee_id,users,id
epics,group_id,namespaces,id
epic_metrics,epic_id,epics,id
clusters,management_project_id,projects,id
clusters,user_id,users,id
cluster_projects,project_id,projects,id
cluster_projects,cluster_id,clusters,id
cluster_platforms_kubernetes,cluster_id,clusters,id
cluster_providers_gcp,cluster_id,clusters,id
geo_node_statuses,geo_node_id,geo_nodes,id
clusters_applications_helm,cluster_id,clusters,id
clusters_applications_ingress,cluster_id,clusters,id
geo_hashed_storage_migrated_events,project_id,projects,id
epic_issues,issue_id,issues,id
epic_issues,epic_id,epics,id
ci_job_artifacts,project_id,projects,id
ci_job_artifacts,job_id,ci_builds,id
geo_hashed_storage_attachments_events,project_id,projects,id
clusters_applications_prometheus,cluster_id,clusters,id
lfs_file_locks,user_id,users,id
lfs_file_locks,project_id,projects,id
user_callouts,user_id,users,id
badges,project_id,projects,id
badges,group_id,namespaces,id
clusters_applications_runners,runner_id,ci_runners,id
clusters_applications_runners,cluster_id,clusters,id
prometheus_metrics,project_id,projects,id
project_repository_states,project_id,projects,id
ci_pipeline_chat_data,pipeline_id,ci_pipelines,id
ci_pipeline_chat_data,chat_name_id,chat_names,id
user_interacted_projects,user_id,users,id
user_interacted_projects,project_id,projects,id
saml_providers,group_id,namespaces,id
ci_builds_metadata,build_id,ci_builds,id
ci_builds_metadata,project_id,projects,id
internal_ids,namespace_id,namespaces,id
internal_ids,project_id,projects,id
protected_branch_unprotect_access_levels,user_id,users,id
protected_branch_unprotect_access_levels,group_id,namespaces,id
protected_branch_unprotect_access_levels,protected_branch_id,protected_branches,id
project_deploy_tokens,deploy_token_id,deploy_tokens,id
project_deploy_tokens,project_id,projects,id
project_ci_cd_settings,project_id,projects,id
ci_runner_namespaces,runner_id,ci_runners,id
ci_runner_namespaces,namespace_id,namespaces,id
ci_build_trace_chunks,build_id,ci_builds,id
vulnerability_feedback,merge_request_id,merge_requests,id
vulnerability_feedback,comment_author_id,users,id
vulnerability_feedback,pipeline_id,ci_pipelines,id
vulnerability_feedback,author_id,users,id
vulnerability_feedback,issue_id,issues,id
vulnerability_feedback,project_id,projects,id
term_agreements,user_id,users,id
term_agreements,term_id,application_setting_terms,id
clusters_applications_jupyter,cluster_id,clusters,id
clusters_applications_jupyter,oauth_application_id,oauth_applications,id
note_diff_files,diff_note_id,notes,id
ci_builds_runner_session,build_id,ci_builds,id
import_export_uploads,group_id,namespaces,id
import_export_uploads,project_id,projects,id
prometheus_alerts,environment_id,environments,id
prometheus_alerts,prometheus_metric_id,prometheus_metrics,id
prometheus_alerts,project_id,projects,id
software_license_policies,software_license_id,software_licenses,id
software_license_policies,project_id,projects,id
resource_label_events,issue_id,issues,id
resource_label_events,epic_id,epics,id
resource_label_events,merge_request_id,merge_requests,id
resource_label_events,label_id,labels,id
resource_label_events,user_id,users,id
repository_languages,project_id,projects,id
user_statuses,user_id,users,id
protected_environments,project_id,projects,id
protected_environment_deploy_access_levels,group_id,namespaces,id
protected_environment_deploy_access_levels,user_id,users,id
protected_environment_deploy_access_levels,protected_environment_id,protected_environments,id
packages_packages,creator_id,users,id
packages_packages,project_id,projects,id
packages_package_files,package_id,packages_packages,id
packages_maven_metadata,package_id,packages_packages,id
vulnerability_scanners,project_id,projects,id
vulnerability_identifiers,project_id,projects,id
geo_reset_checksum_events,project_id,projects,id
operations_feature_flags,project_id,projects,id
operations_feature_flags_clients,project_id,projects,id
draft_notes,author_id,users,id
draft_notes,merge_request_id,merge_requests,id
prometheus_alert_events,prometheus_alert_id,prometheus_alerts,id
prometheus_alert_events,project_id,projects,id
user_preferences,user_id,users,id
vulnerability_occurrences,vulnerability_id,vulnerabilities,id
vulnerability_occurrences,project_id,projects,id
vulnerability_occurrences,scanner_id,vulnerability_scanners,id
vulnerability_occurrences,primary_identifier_id,vulnerability_identifiers,id
vulnerability_occurrence_identifiers,identifier_id,vulnerability_identifiers,id
vulnerability_occurrence_identifiers,occurrence_id,vulnerability_occurrences,id
vulnerability_occurrence_pipelines,pipeline_id,ci_pipelines,id
vulnerability_occurrence_pipelines,occurrence_id,vulnerability_occurrences,id
clusters_kubernetes_namespaces,cluster_project_id,cluster_projects,id
clusters_kubernetes_namespaces,cluster_id,clusters,id
clusters_kubernetes_namespaces,environment_id,environments,id
clusters_kubernetes_namespaces,project_id,projects,id
board_project_recent_visits,project_id,projects,id
board_project_recent_visits,board_id,boards,id
board_project_recent_visits,user_id,users,id
